,Customer ID,Gender,Age,Married,Number of Dependents,City,Population,Satisfaction Score,Quarter,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
1092,7861-UVUFT,Male,nan,No,0.0,nan,614,2.0,Q3,0.0,58.0,Offer B,Yes,41.14,Yes,Yes,Fiber Optic,25.0,No,No,Yes,Yes,Yes,nan,Yes,No,One Year,Yes,Bank Withdrawal,104.65,6219.6,0.0,40.0,2386.12,8645.720000000001,2
1093,5337-IIWKZ,Male,62.0,nan,nan,nan,nan,4.0,Q3,0.0,30.0,None,Yes,nan,No,No,nan,0.0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,19.7,625.05,0.0,0.0,737.1,nan,nan
1094,4312-KFRXN,Female,65.0,Yes,0.0,nan,30814,nan,Q3,1.0,nan,None,Yes,22.33,Yes,Yes,nan,6.0,No,No,Yes,No,nan,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,2952.85,0.0,0.0,647.5699999999998,3600.42,nan
1095,9825-YCXWZ,Male,47.0,No,0.0,Groveland,3680,4.0,Q3,0.0,38.0,Offer C,Yes,4.34,nan,Yes,Fiber Optic,26.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.85,3887.25,0.0,nan,164.92,4052.17,0
1096,6980-CDGFC,Male,34.0,Yes,0.0,Topaz,116,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1097,1251-STYSZ,Male,53.0,Yes,0.0,Clearlake Oaks,3684,4.0,Q3,1.0,61.0,None,Yes,nan,Yes,Yes,DSL,20.0,Yes,Yes,Yes,Yes,No,Yes,Yes,nan,Two Year,Yes,Bank Withdrawal,80.8,4860.85,nan,0.0,nan,7495.96,nan
1098,1143-NMNQJ,Male,61.0,No,0.0,Coarsegold,9395,4.0,Q3,0.0,3.0,None,Yes,44.97,No,Yes,Fiber Optic,16.0,Yes,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,82.3,nan,0.0,nan,134.91,369.31,0
1099,5649-TJHOV,Male,40.0,Yes,2.0,Woodland Hills,25988,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1100,3413-CSSTH,nan,nan,nan,nan,Tracy,69801,4.0,Q3,10.0,61.0,None,Yes,nan,Yes,Yes,Cable,52.0,Yes,No,nan,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,75.35,nan,0.0,nan,nan,6486.1,0
1101,5574-NXZIU,Male,24.0,Yes,0.0,Morgan Hill,41707,3.0,Q3,1.0,70.0,nan,Yes,1.63,No,nan,DSL,41.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,64.95,nan,42.89,0.0,114.1,4594.46,0
1102,6474-FVJLC,Female,27.0,Yes,1.0,nan,10155,5.0,Q3,6.0,13.0,Offer D,Yes,16.74,No,No,None,0.0,No,No,No,No,No,nan,nan,No,Month-to-Month,No,Credit Card,18.8,251.25,nan,0.0,217.62,468.87,0
1103,8169-SAEJD,nan,nan,nan,nan,Castroville,8582,5.0,Q3,0.0,21.0,None,Yes,22.53,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.35,422.7,0.0,0.0,473.13,895.8299999999998,nan
1104,4628-CTTLA,Female,54.0,Yes,0.0,Santa Rosa,30876,nan,nan,8.0,37.0,None,Yes,15.51,No,No,None,nan,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.85,717.5,0.0,0.0,573.87,1291.37,0
1105,7758-UJWYS,Male,67.0,Yes,2.0,nan,nan,nan,Q3,4.0,72.0,None,nan,16.82,No,Yes,Fiber Optic,25.0,Yes,No,Yes,nan,Yes,Yes,No,No,Two Year,Yes,Credit Card,104.1,nan,0.0,nan,1211.04,8698.74,0
1106,7369-TRPFD,Male,68.0,nan,0.0,Pomona,46626,3.0,Q3,3.0,nan,None,Yes,nan,Yes,Yes,Fiber Optic,nan,No,Yes,No,Yes,Yes,nan,No,Yes,One Year,No,Bank Withdrawal,107.05,nan,0.0,0.0,551.1999999999998,nan,0
1107,7815-PDTHL,Female,40.0,No,0.0,West Hollywood,nan,nan,nan,nan,nan,nan,Yes,45.41,No,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Yes,Yes,nan,Yes,Bank Withdrawal,79.55,723.4,0.0,nan,408.69,nan,nan
1108,7633-MVPUY,Male,57.0,No,0.0,Mount Laguna,81,4.0,Q3,0.0,24.0,Offer C,Yes,13.13,Yes,Yes,nan,nan,No,Yes,nan,nan,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.85,2048.8,0.0,80.0,315.12,2443.92,0
1109,7739-LAXOG,nan,nan,nan,nan,Los Angeles,101215,5.0,Q3,4.0,65.0,None,Yes,48.53,Yes,Yes,Fiber Optic,nan,No,Yes,Yes,nan,nan,Yes,No,Yes,Two Year,nan,Bank Withdrawal,nan,7082.45,21.52,0.0,3154.4500000000007,10215.38,0
1110,0074-HDKDG,Male,77.0,Yes,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1111,4816-OKWNX,nan,67.0,No,0.0,Morgan Hill,41707,nan,Q3,0.0,1.0,nan,No,0.0,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,nan,0.0,0.0,25.1,1
1112,0670-ANMUU,Male,78.0,No,0.0,Miranda,867,4.0,Q3,0.0,57.0,Offer B,Yes,28.44,No,Yes,DSL,24.0,No,No,Yes,Yes,No,No,nan,nan,One Year,Yes,Bank Withdrawal,53.5,3035.8,0.0,nan,1621.0800000000004,4656.88,0
1113,8277-RVRSV,Male,39.0,Yes,0.0,Los Angeles,3524,3.0,Q3,7.0,nan,Offer B,Yes,5.69,Yes,Yes,nan,10.0,No,No,nan,No,Yes,nan,Yes,nan,One Year,No,Credit Card,100.35,5681.1,0.0,nan,330.0200000000001,6011.120000000001,0
1114,6711-FLDFB,Female,51.0,No,0.0,San Pedro,21279,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1115,3378-AJRAO,Female,48.0,Yes,nan,Montara,nan,3.0,Q3,nan,65.0,None,Yes,nan,Yes,No,None,nan,No,No,No,No,No,No,nan,No,Two Year,nan,Credit Card,26.0,1654.85,0.0,0.0,191.75,1846.6,0
1116,5353-WILCI,Female,53.0,No,0.0,Birds Landing,138,4.0,Q3,0.0,1.0,None,Yes,1.15,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.1,70.1,0.0,0.0,1.15,71.25,0
1117,5243-SAOTC,Male,32.0,No,0.0,Lompoc,51737,5.0,Q3,0.0,nan,Offer E,nan,15.16,No,nan,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,nan,19.4,50.6,0.0,nan,30.32,80.92,nan
1118,4817-QRJSX,nan,nan,nan,nan,Hughson,6822,nan,Q3,1.0,20.0,None,Yes,8.98,No,Yes,DSL,16.0,No,Yes,nan,No,nan,Yes,No,Yes,One Year,Yes,Bank Withdrawal,60.0,1259.35,0.0,0.0,179.60000000000005,1438.9499999999996,nan
1119,4998-IKFSE,Male,39.0,Yes,3.0,Boonville,1374,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1120,5924-SNGKP,Male,78.0,No,0.0,nan,nan,3.0,Q3,0.0,35.0,None,Yes,26.19,Yes,Yes,Fiber Optic,19.0,Yes,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,nan,3180.5,0.0,40.0,916.65,4137.15,0
1121,9134-WYRVP,Female,nan,Yes,2.0,Johannesburg,207,1.0,Q3,1.0,2.0,None,nan,27.27,No,Yes,DSL,51.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,65.7,134.35,0.0,0.0,54.54,188.89,1
1122,6119-SPUDB,Male,nan,Yes,0.0,nan,38756,3.0,Q3,1.0,nan,Offer C,nan,nan,Yes,Yes,Fiber Optic,nan,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.05,2866.45,0.0,0.0,315.0,3181.45,3
1123,3198-VELRD,nan,nan,nan,nan,Hydesville,nan,nan,Q3,4.0,nan,Offer B,Yes,43.57,No,Yes,DSL,30.0,Yes,nan,Yes,Yes,No,No,No,Yes,One Year,Yes,nan,65.85,3928.3,0.0,0.0,2614.2,6542.5,0
1124,4750-ZRXIU,Male,nan,Yes,0.0,Mountain Ranch,1692,1.0,Q3,1.0,29.0,None,Yes,40.49,No,Yes,Fiber Optic,nan,nan,No,No,No,Yes,Yes,Yes,nan,nan,No,Credit Card,94.65,2649.15,0.0,0.0,nan,3823.36,5
1125,9497-QCMMS,nan,35.0,No,0.0,nan,nan,nan,Q3,0.0,22.0,Offer D,Yes,11.46,Yes,Yes,Fiber Optic,16.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.05,1799.3,0.0,0.0,nan,2051.42,nan
1126,5311-IHLEI,Male,51.0,nan,0.0,nan,nan,4.0,Q3,8.0,69.0,Offer A,Yes,33.37,nan,Yes,Fiber Optic,24.0,Yes,nan,Yes,Yes,nan,Yes,Yes,Yes,nan,Yes,Credit Card,107.2,7317.1,0.0,0.0,2302.53,9619.63,0
1127,1636-NTNCO,Female,47.0,No,0.0,nan,18539,nan,Q3,0.0,29.0,None,Yes,4.53,Yes,No,nan,0.0,No,No,No,No,No,No,nan,No,Month-to-Month,No,Bank Withdrawal,25.15,702.0,0.0,0.0,131.37,833.37,0
1128,5204-QZXPU,nan,nan,No,0.0,nan,nan,nan,Q3,0.0,60.0,None,Yes,nan,Yes,nan,Fiber Optic,nan,No,nan,Yes,No,No,No,nan,Yes,nan,Yes,Bank Withdrawal,nan,4765.0,0.0,0.0,917.4,5682.4,0
1129,4433-JCGCG,Male,24.0,Yes,2.0,Anaheim,45086,3.0,Q3,3.0,45.0,Offer B,Yes,39.03,No,No,None,0.0,No,No,No,nan,nan,No,No,No,Two Year,No,Credit Card,nan,929.2,0.0,0.0,1756.35,2685.55,nan
1130,4301-VVZKA,nan,nan,nan,nan,Artesia,16398,4.0,Q3,8.0,63.0,None,nan,10.67,Yes,nan,Fiber Optic,nan,No,Yes,nan,nan,Yes,Yes,Yes,Yes,nan,Yes,Bank Withdrawal,109.25,6841.4,0.0,0.0,672.21,nan,0
1131,7126-RBHSD,nan,nan,nan,nan,nan,nan,3.0,Q3,0.0,1.0,None,Yes,20.06,No,nan,nan,24.0,nan,No,No,No,Yes,No,No,Yes,nan,Yes,nan,79.2,nan,0.0,0.0,20.06,99.26,1
1132,8573-JGCZW,nan,nan,nan,nan,nan,nan,2.0,Q3,1.0,37.0,None,No,0.0,No,Yes,nan,nan,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0.0,0.0,1448.8,1
1133,3806-YAZOV,Female,24.0,Yes,1.0,Whittier,26265,5.0,Q3,10.0,8.0,None,Yes,31.86,No,Yes,Cable,59.0,No,Yes,No,Yes,No,No,No,nan,Month-to-Month,No,Bank Withdrawal,56.3,401.5,0.0,nan,254.88,686.38,0
1134,9979-RGMZT,Female,nan,No,0.0,San Diego,4258,nan,Q3,0.0,16.0,Offer D,Yes,22.3,No,Yes,Fiber Optic,28.0,No,Yes,nan,No,nan,Yes,Yes,Yes,Month-to-Month,nan,Bank Withdrawal,86.25,1340.1,0.0,0.0,356.8,1696.9,0
1135,2346-CZYIL,Female,nan,Yes,0.0,San Bernardino,12149,3.0,Q3,2.0,10.0,None,nan,0.0,No,Yes,Cable,20.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,52.55,525.5,0.0,0.0,0.0,525.5,0
1136,6447-EGDIV,Male,66.0,Yes,0.0,Fresno,60889,nan,Q3,1.0,34.0,None,Yes,nan,Yes,Yes,Fiber Optic,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.55,nan,0.0,0.0,70.38,2495.78,0
1137,3387-VATUS,nan,nan,nan,nan,Santa Monica,5221,4.0,Q3,0.0,62.0,Offer B,Yes,38.33,No,Yes,Cable,30.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,nan,4698.05,0.0,0.0,2376.46,7074.51,0
1138,6061-GWWAV,nan,nan,nan,nan,Descanso,1587,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1139,8961-QDZZJ,Male,49.0,No,0.0,Cerritos,51556,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4
1140,9046-JBFWA,Female,29.0,No,0.0,nan,58830,4.0,nan,0.0,60.0,Offer B,No,nan,No,Yes,DSL,nan,Yes,nan,Yes,No,No,Yes,Yes,nan,One Year,Yes,Bank Withdrawal,44.45,2773.9,0.0,nan,0.0,2773.9,0
1141,7268-IGMFD,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,None,Yes,6.19,No,Yes,nan,52.0,Yes,No,No,No,No,nan,Yes,Yes,Month-to-Month,nan,Credit Card,nan,73.6,0.0,0.0,6.19,79.78999999999998,1
1142,2874-YXVVA,Female,58.0,No,0.0,nan,nan,3.0,Q3,0.0,1.0,Offer E,Yes,46.17,No,nan,Fiber Optic,30.0,No,No,nan,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0.0,nan,46.17,116.27,1
1143,2039-JONDJ,nan,79.0,Yes,0.0,nan,nan,3.0,Q3,9.0,64.0,Offer B,Yes,nan,Yes,Yes,Fiber Optic,29.0,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.25,6081.4,0.0,nan,1493.12,7574.519999999998,0
1144,2282-YGNOR,Female,43.0,No,1.0,Los Gatos,13290,nan,Q3,0.0,12.0,Offer D,Yes,nan,Yes,nan,Fiber Optic,23.0,No,No,nan,No,No,No,No,nan,Month-to-Month,Yes,Bank Withdrawal,76.6,893.0,0.0,nan,313.56,1206.56,0
1145,5099-BAILX,Male,nan,No,0.0,Pacifica,38885,4.0,Q3,0.0,32.0,nan,Yes,1.12,Yes,Yes,Fiber Optic,5.0,No,No,Yes,No,No,No,No,nan,One Year,Yes,Credit Card,81.1,nan,19.25,0.0,35.84,nan,nan
1146,6922-NCEDI,Male,59.0,No,0.0,Los Angeles,30568,2.0,Q3,0.0,8.0,None,Yes,35.53,nan,Yes,Cable,5.0,No,No,No,No,nan,No,No,Yes,Month-to-Month,nan,Credit Card,45.15,438.4,0.0,0.0,nan,722.64,5
1147,2660-EMUBI,Female,46.0,No,0.0,Union City,66472,nan,Q3,0.0,7.0,Offer E,nan,48.36,No,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,nan,Yes,Bank Withdrawal,95.35,660.9,34.29,0.0,338.52,965.13,1
1148,1363-TXLSL,nan,nan,Yes,2.0,nan,78,3.0,Q3,5.0,53.0,None,Yes,24.33,No,Yes,Fiber Optic,52.0,No,Yes,No,Yes,Yes,nan,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.55,4779.45,0.0,0.0,1289.49,6068.94,0
1149,5334-AFQJB,nan,nan,nan,nan,Redding,41476,4.0,Q3,0.0,52.0,Offer B,Yes,5.42,Yes,Yes,Fiber Optic,22.0,No,Yes,nan,No,Yes,Yes,Yes,Yes,Month-to-Month,nan,Bank Withdrawal,103.05,5364.8,46.67,0.0,281.84,5599.97,nan
1150,6060-QBMGV,nan,26.0,No,0.0,Happy Camp,1294,nan,Q3,0.0,38.0,None,Yes,36.18,No,Yes,Fiber Optic,nan,Yes,nan,Yes,No,No,nan,Yes,Yes,Month-to-Month,Yes,Credit Card,83.9,3233.6,0.0,0.0,1374.84,4608.44,1
1151,6087-MVHJH,Male,29.0,Yes,0.0,Yuba City,34967,4.0,Q3,5.0,17.0,Offer D,No,0.0,No,Yes,DSL,27.0,No,No,Yes,Yes,Yes,Yes,Yes,nan,One Year,No,Bank Withdrawal,nan,934.8,47.73,nan,0.0,887.0699999999998,0
1152,5751-USDBL,Female,54.0,nan,0.0,Arcadia,30028,5.0,Q3,0.0,2.0,nan,Yes,15.67,No,nan,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.7,135.2,0.0,0.0,31.34,166.54,0
1153,1702-CCFNJ,Female,59.0,Yes,2.0,Upper Lake,2344,4.0,Q3,2.0,52.0,Offer B,Yes,10.03,No,nan,Cable,29.0,No,No,Yes,nan,No,No,No,Yes,One Year,Yes,Bank Withdrawal,50.95,2610.65,0.0,0.0,521.56,3132.21,nan
1154,4657-FWVFY,Female,19.0,No,nan,Santa Cruz,8365,1.0,Q3,0.0,1.0,None,Yes,40.48,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.95,20.95,nan,0.0,nan,61.42999999999999,4
1155,0080-OROZO,Female,nan,No,0.0,Cressey,55,nan,Q3,nan,66.0,Offer A,Yes,36.48,Yes,Yes,nan,5.0,Yes,Yes,No,Yes,No,nan,No,Yes,One Year,nan,Credit Card,63.85,4174.35,nan,0.0,2407.68,6582.030000000002,0
1156,3308-DGHKL,nan,nan,nan,nan,nan,nan,5.0,Q3,7.0,nan,Offer D,Yes,46.71,Yes,Yes,Fiber Optic,8.0,nan,Yes,nan,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,1336.9,0.0,0.0,794.07,nan,0
1157,1525-LNLOJ,nan,nan,Yes,0.0,nan,nan,4.0,Q3,7.0,54.0,Offer B,Yes,nan,Yes,Yes,Fiber Optic,26.0,nan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,nan,114.65,6049.5,0.0,nan,615.6,6665.1,0
1158,0511-JTEOY,Female,nan,Yes,0.0,nan,nan,2.0,Q3,1.0,13.0,None,Yes,17.83,No,Yes,Fiber Optic,10.0,No,No,No,nan,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,88.35,1222.8,0.0,0.0,231.79,1454.59,nan
1159,6994-KERXL,Female,73.0,No,0.0,Newcastle,6096,1.0,Q3,nan,2.0,None,No,0.0,No,Yes,DSL,13.0,nan,No,Yes,No,No,nan,No,Yes,Month-to-Month,Yes,Bank Withdrawal,nan,78.65,0.0,0.0,0.0,78.65,nan
1160,2592-HODOV,Male,nan,No,3.0,Los Angeles,nan,1.0,Q3,0.0,nan,None,Yes,12.6,No,Yes,Fiber Optic,nan,No,No,nan,No,nan,nan,No,Yes,nan,nan,Bank Withdrawal,69.7,316.9,0.0,nan,63.0,379.9,1
1161,9385-NXKDA,Male,61.0,Yes,nan,Sunland,18752,3.0,Q3,6.0,nan,None,Yes,15.2,No,Yes,Fiber Optic,21.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,nan,nan,3539.25,nan,0.0,653.6,4192.85,nan
1162,1297-VQDRP,Female,42.0,No,0.0,Palo Cedro,4931,nan,Q3,0.0,72.0,None,Yes,24.19,Yes,Yes,Fiber Optic,13.0,No,nan,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.6,8012.75,0.0,0.0,1741.68,9754.43,0
1163,3847-BAERP,Male,67.0,No,nan,nan,nan,4.0,Q3,0.0,51.0,None,Yes,3.11,nan,No,None,0.0,No,nan,No,No,No,No,No,No,nan,No,Bank Withdrawal,25.0,1260.7,0.0,0.0,nan,1419.31,0
1164,0463-ZSDNT,Male,nan,No,0.0,Santa Cruz,36631,3.0,nan,0.0,3.0,None,No,0.0,No,Yes,Cable,25.0,Yes,No,Yes,nan,No,No,No,Yes,Month-to-Month,No,nan,nan,107.25,0.0,0.0,0.0,107.25,0
1165,0523-VNGTF,Female,40.0,nan,nan,Jamestown,9559,nan,Q3,0.0,16.0,None,Yes,40.76,No,Yes,Fiber Optic,7.0,No,Yes,Yes,No,No,Yes,nan,Yes,Month-to-Month,Yes,nan,93.2,1573.7,35.7,0.0,652.16,2190.16,1
1166,0599-XNYDO,Female,56.0,No,0.0,Chico,35808,nan,Q3,0.0,9.0,None,nan,43.83,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.5,150.35,0.0,0.0,394.47,544.8199999999998,nan
1167,1608-GMEWB,Male,54.0,No,0.0,Adin,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1168,0840-DCNZE,Male,46.0,nan,0.0,nan,1472,nan,Q3,0.0,36.0,None,Yes,nan,Yes,Yes,Fiber Optic,nan,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,3067.2,0.0,nan,887.76,3954.96,3
1169,4957-SREEC,Female,45.0,No,2.0,Escalon,11474,4.0,Q3,0.0,18.0,Offer D,Yes,30.22,Yes,No,None,0.0,No,No,No,nan,No,No,No,No,Two Year,No,Credit Card,25.3,454.65,0.0,0.0,543.96,998.61,0
1170,2833-SLKDQ,nan,76.0,No,0.0,Compton,29825,3.0,Q3,0.0,2.0,None,Yes,32.98,nan,Yes,Fiber Optic,14.0,No,Yes,No,No,Yes,No,nan,Yes,Two Year,Yes,Bank Withdrawal,83.8,163.7,0.0,0.0,65.96,229.66,0
1171,1304-SEGFY,Male,42.0,No,0.0,Helm,152,5.0,nan,0.0,22.0,Offer D,Yes,10.36,No,No,None,0.0,No,nan,No,nan,nan,No,nan,No,nan,No,Credit Card,20.3,475.1,0.0,nan,227.92,703.02,0
1172,8894-JVDCV,Male,38.0,Yes,2.0,Alamo,15187,nan,Q3,1.0,69.0,None,nan,42.9,nan,nan,Fiber Optic,24.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,nan,106.35,nan,0.0,0.0,2960.1,10221.85,0
1173,2262-SLNVK,Female,23.0,No,0.0,Pinon Hills,nan,4.0,Q3,0.0,12.0,Offer D,Yes,49.25,Yes,Yes,DSL,47.0,No,nan,No,nan,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,75.85,854.45,0.0,0.0,591.0,1445.45,nan
1174,5688-KZTSN,Female,21.0,Yes,3.0,Solana Beach,nan,nan,Q3,4.0,51.0,Offer B,Yes,19.9,Yes,Yes,Fiber Optic,59.0,nan,No,Yes,No,No,Yes,Yes,nan,nan,Yes,Bank Withdrawal,90.15,4554.85,0.0,0.0,1014.9,5569.75,nan
1175,0480-BIXDE,Male,71.0,Yes,0.0,Chino,75319,3.0,Q3,1.0,30.0,None,Yes,4.65,No,Yes,DSL,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,0.0,0.0,nan,nan,3
1176,1658-XUHBX,Female,nan,Yes,0.0,nan,nan,1.0,Q3,2.0,54.0,None,Yes,8.83,Yes,Yes,Fiber Optic,21.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,nan,Bank Withdrawal,nan,5763.3,0.0,0.0,476.82,6240.12,2
1177,3811-VBYBZ,Female,44.0,Yes,nan,Challenge,262,5.0,Q3,1.0,67.0,Offer A,Yes,46.9,No,Yes,Cable,nan,No,Yes,nan,No,No,No,No,Yes,One Year,No,Credit Card,nan,3431.75,0.0,0.0,3142.3,6574.049999999998,0
1178,0516-UXRMT,Female,50.0,nan,0.0,nan,nan,4.0,Q3,6.0,67.0,nan,Yes,17.72,Yes,Yes,Fiber Optic,nan,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,nan,Yes,Credit Card,109.7,7344.45,0.0,0.0,1187.24,8531.69,nan
1179,2516-XSJKX,Female,48.0,No,0.0,Topanga,5451,2.0,Q3,0.0,1.0,None,Yes,nan,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.2,20.2,0.0,0.0,43.52,63.72,4
1180,4782-OSFXZ,Male,38.0,Yes,nan,San Clemente,34946,5.0,Q3,7.0,8.0,None,Yes,22.34,No,No,None,0.0,No,No,No,nan,No,No,No,No,Month-to-Month,Yes,nan,19.55,161.15,0.0,0.0,178.72,339.87,nan
1181,5753-QQWPW,Male,64.0,nan,1.0,Culver City,15195,5.0,Q3,2.0,23.0,nan,Yes,24.22,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.0,nan,0.0,0.0,557.06,1002.36,0
1182,4450-YOOHP,Female,68.0,No,0.0,Irvine,17621,1.0,Q3,0.0,2.0,None,Yes,nan,Yes,Yes,Fiber Optic,28.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25,0.0,nan,nan,222.39,1
1183,8189-HBVRW,Female,24.0,No,0.0,nan,nan,3.0,Q3,0.0,21.0,None,Yes,24.86,Yes,Yes,Fiber Optic,48.0,No,nan,No,No,Yes,Yes,Yes,Yes,Month-to-Month,nan,Credit Card,99.85,1992.55,0.0,0.0,522.06,nan,nan
1184,7924-GJZFI,Male,58.0,No,0.0,West Sacramento,19050,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1185,7254-IQWOZ,nan,nan,nan,nan,Pacific Grove,15449,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1186,6333-YDVLT,Female,52.0,nan,0.0,Los Angeles,87383,nan,Q3,8.0,70.0,None,nan,29.38,Yes,Yes,DSL,23.0,Yes,Yes,No,No,Yes,No,No,No,Two Year,Yes,Credit Card,nan,4872.35,0.0,80.0,2056.6,7008.950000000002,0
1187,5590-YRFJT,Female,76.0,Yes,0.0,nan,nan,nan,Q3,1.0,33.0,None,Yes,33.19,Yes,Yes,Cable,15.0,No,Yes,No,No,No,No,nan,Yes,nan,Yes,Bank Withdrawal,80.6,2656.5,0.0,0.0,1095.27,3751.77,nan
1188,0853-NWIFK,Female,35.0,Yes,1.0,Washington,145,3.0,Q3,6.0,58.0,None,nan,17.21,No,No,None,0.0,nan,No,No,No,No,No,nan,No,Two Year,No,Credit Card,20.3,1160.75,25.57,0.0,998.18,2133.36,0
1189,4612-THJBS,Female,58.0,No,0.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
